path,phase,role,sha256,size_bytes,canonicality,frozen_status
data/processed/campus_hourly.csv,data,dataset evidence,a56f26f19cf9752893132a77d3ff2cd0ae72b04c4b521484033e7cd58fd8c0f4,1134754,frozen_supporting_or_historical,AT_FROZEN_COMMIT
data/processed/campus_hourly_manifest.json,data,dataset evidence,061e47e63d06bad5d638be64040cfd60c8892506e06682f159018894dd9df0c7,2073,canonical,AT_FROZEN_COMMIT
outputs/phase3/building_selection.csv,3,anchor and dataset universe,36a089b8b8ff50193be54c525c5ec0dacb56006fbe4bea876e94b377a0dd629e,243989,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase3/feature_importance.png,3,anchor and dataset universe,1935bd333f3134afcf5f3f5fa489b305b57fd59986a0491e279f45b6f1d30a6b,53836,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase3/forecast_plot.png,3,anchor and dataset universe,f3605f7593ed442cc2017e18308c405ece3d6b59ac246c9d11aa9d0bd8595627,233532,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase3/predictions.csv,3,anchor and dataset universe,10b7690d03cafcc0c319e846c981d7ad3f5a2510614b1cf7e432f273eec7decc,82533,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase3/run_report.json,3,anchor and dataset universe,f3dfd5afe5e7475231714bfede9e249a294ddc8b0c3b62fb246c0ade58678927,4253,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/figures/01_test_actual_vs_prediction.png,4,historical forecast evidence,a2bcad62f5135525a4d53fb9fa8cddc12a66b819033d0483b60ead29a23e2fd6,183131,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/figures/02_test_scatter.png,4,historical forecast evidence,5ae33b95eeae5418a17966c9ad872c4003472f139e88ec3fb895e3dc0a56edb8,102657,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/figures/03_error_distribution.png,4,historical forecast evidence,f4eaf30124af3a8f17d7360ce65ba893dba27f93f1ed3c83990a856a072f2dd2,26322,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/figures/04_feature_importance.png,4,historical forecast evidence,ef46f278bc4a2f48926a8e89288ecbd43620c8eaca573893624e3ad93da8b6d1,68818,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/figures/05_week_example.png,4,historical forecast evidence,554ecfa8e71b70268e2d1c1ef421fcbc7f7b3794490f169a27f30020846fc578,155703,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4/model_comparison.csv,4,historical forecast evidence,49528342b4781775991b3bcd93ce4b0de756b8c59ab62ce57c9de5e919346102,472,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4_5/error_by_dayofweek.csv,4_5,corrected canonical single-building forecast,32c61498378c80e683826f7c669c743a88c3e220a8be8ffb9fe13c511657d4ef,1145,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4_5/error_by_dayofweek.png,4_5,corrected canonical single-building forecast,5366009f85bda1380f7f735cbbcf8cf08ed5e3901d47662735da1be1078b9320,120638,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4_5/error_by_hour.csv,4_5,corrected canonical single-building forecast,e6bda1935748a52e0ac36e49117f68bbc6dc4a564c4bbee995b0ffcd8da547fd,3404,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4_5/error_by_hour.png,4_5,corrected canonical single-building forecast,55f89b084f26763d492c6f0be9ad3ce378ed3f7c10546cdf4eda89a3d112a7f8,112530,frozen_supporting_or_historical,AT_FROZEN_COMMIT
outputs/phase4_5/feature_importance.csv,4_5,corrected canonical single-building forecast,8cfeeee52f04d166f698bf4acd620847f39dda89d116ab34d4a8113e189cfd4f,1099,frozen_supporting_or_historical,AT_FROZEN_COMMIT
