timestamp,load,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
2016-01-01 00:00:00,2335.4744,3.8,,2.4,,0.0,1020.9,240.0,3.1
2016-01-01 01:00:00,4637.7475,3.7,0.0,2.4,,,1021.6,230.0,2.6
2016-01-01 02:00:00,4642.106499999999,2.6,0.0,1.9,,,1021.9,0.0,0.0
2016-01-01 03:00:00,4635.2555,2.0,0.0,1.2,,,1022.3,170.0,1.5
2016-01-01 04:00:00,4658.839500000001,2.3,0.0,1.8,,,1022.7,110.0,1.5
2016-01-01 05:00:00,4650.498500000001,2.4,,2.0,,,1023.0,100.0,1.0
2016-01-01 06:00:00,4686.4895,2.3,,1.8,,,1023.0,90.0,1.5
2016-01-01 07:00:00,4790.1404999999995,2.6,,1.9,,,1022.5,80.0,1.0
2016-01-01 08:00:00,4880.5895,2.2,,1.5,,,1022.3,60.0,1.0
2016-01-01 09:00:00,4920.8324999999995,2.2,,1.2,,,1022.0,100.0,2.6
2016-01-01 10:00:00,4899.9945,4.0,,1.8,,,1020.9,90.0,4.1
2016-01-01 11:00:00,4918.3825,5.4,,1.9,,,1020.4,120.0,3.6
2016-01-01 12:00:00,4911.4025,7.0,,4.4,,0.0,1019.1,120.0,5.1
2016-01-01 13:00:00,4931.1875,7.2,,4.4,,,1017.6,110.0,5.7
2016-01-01 14:00:00,4920.2055,7.4,,4.5,,,1016.2,100.0,5.1
2016-01-01 15:00:00,4905.286499999999,7.5,,5.6,,,1014.9,100.0,7.2
2016-01-01 16:00:00,4929.0985,7.6,,6.7,,,1013.8,110.0,5.7
2016-01-01 17:00:00,4917.1555,8.0,,7.1,,,1012.5,120.0,6.7
2016-01-01 18:00:00,4850.9025,8.1,,6.5,,,1011.0,130.0,7.7
2016-01-01 19:00:00,4762.3054999999995,8.1,,6.3,,,1010.2,120.0,8.8
2016-01-01 20:00:00,4687.397499999999,8.2,,6.2,,,1008.8,120.0,8.2
2016-01-01 21:00:00,4664.4635,8.5,,6.1,,,1007.5,120.0,8.2
2016-01-01 22:00:00,4642.0064999999995,8.3,,6.5,,,1006.4,130.0,8.2
2016-01-01 23:00:00,4612.339500000001,7.9,,7.0,,,1005.1,130.0,7.2
2016-01-02 00:00:00,4489.1185,8.1,,7.4,,10.0,1004.2,130.0,7.2
2016-01-02 01:00:00,4774.5153,8.2,,7.7,,,1002.4,110.0,8.2
2016-01-02 02:00:00,4517.5507,8.5,,8.1,,,1001.9,120.0,6.7
2016-01-02 03:00:00,4521.749699999999,9.1,,8.2,,,1001.0,130.0,7.2
2016-01-02 04:00:00,4449.0626999999995,9.3,,8.3,,,1000.0,130.0,7.2
2016-01-02 05:00:00,4579.392,9.6,,8.4,,,998.9,130.0,8.2
2016-01-02 06:00:00,4566.699,9.7,,8.4,,,998.3,130.0,7.7
2016-01-02 07:00:00,4646.259,9.4,,8.8,,,997.9,130.0,8.2
2016-01-02 08:00:00,4782.9046,9.7,,8.9,,,997.5,140.0,7.2
2016-01-02 09:00:00,4842.2481,9.9,,9.1,,,997.6,140.0,7.2
2016-01-02 10:00:00,4874.1051,9.8,,9.4,,,997.3,130.0,6.2
2016-01-02 11:00:00,4915.3901000000005,9.9,,9.6,,,996.7,130.0,7.2
2016-01-02 12:00:00,4930.688100000001,10.1,,9.5,,20.0,996.0,130.0,8.2
2016-01-02 13:00:00,4913.6411,10.0,,9.6,,,995.1,130.0,7.7
2016-01-02 14:00:00,4886.1481,10.0,,9.8,,,994.3,120.0,8.2
2016-01-02 15:00:00,4918.3850999999995,10.2,,10.2,,,994.3,140.0,5.7
2016-01-02 16:00:00,4936.2471000000005,11.2,,11.1,,,994.7,190.0,5.1
2016-01-02 17:00:00,4924.317099999999,10.9,,10.5,,,995.4,210.0,6.7
2016-01-02 18:00:00,4861.7681,10.9,,10.3,,,995.9,230.0,7.2
2016-01-02 19:00:00,4804.4601,10.4,,9.7,,,997.0,260.0,8.2
2016-01-02 20:00:00,4673.718099999999,10.1,,9.6,,,998.3,270.0,6.2
2016-01-02 21:00:00,4647.8331,9.9,,9.6,,,999.2,260.0,8.8
2016-01-02 22:00:00,4603.683100000001,9.9,,9.0,,,999.9,260.0,7.2
2016-01-02 23:00:00,4598.701100000001,10.0,,9.2,,,1000.3,250.0,6.2
2016-01-03 00:00:00,4587.2369,9.7,,9.2,,2.0,1001.1,240.0,6.7
2016-01-03 01:00:00,4508.2969,9.3,,8.5,,,1001.4,250.0,9.3
2016-01-03 02:00:00,4501.2807,8.5,,7.2,,,1002.0,250.0,7.7
2016-01-03 03:00:00,4533.5457,7.7,,5.7,,,1002.5,240.0,8.2
2016-01-03 04:00:00,4569.6457,6.8,,3.9,,,1001.7,230.0,5.7
2016-01-03 05:00:00,4634.0377,6.3,,3.3,,,1000.9,190.0,3.6
2016-01-03 06:00:00,4560.3037,5.2,,2.5,,,1000.0,160.0,3.1
2016-01-03 07:00:00,4634.480700000001,5.8,,2.9,,,998.7,150.0,3.6
2016-01-03 08:00:00,4758.1207,6.8,,4.6,,,997.1,150.0,4.6
2016-01-03 09:00:00,4772.8347,7.9,,6.5,,,995.5,140.0,4.6
2016-01-03 10:00:00,4834.1667,8.9,,7.8,,,993.6,150.0,6.2
2016-01-03 11:00:00,4829.0637,9.2,,8.2,,,991.5,150.0,8.2
2016-01-03 12:00:00,4866.1427,9.1,,8.2,,10.0,989.0,140.0,9.3
2016-01-03 13:00:00,4884.8777,8.9,,8.2,,,987.0,150.0,8.2
2016-01-03 14:00:00,4913.577700000001,8.9,,8.3,,,984.6,140.0,9.3
2016-01-03 15:00:00,4917.2407,9.6,,8.5,,,984.7,190.0,5.1
